IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
144.24.80.56,443,true,ICN,Asia Pacific,Seoul,98 ms,18341 kB/s
144.24.78.162,443,true,ICN,Asia Pacific,Seoul,99 ms,18275 kB/s
129.154.59.235,443,true,ICN,Asia Pacific,Seoul,97 ms,17886 kB/s
152.67.222.167,443,true,ICN,Asia Pacific,Seoul,99 ms,17375 kB/s
138.3.222.33,443,true,NRT,Asia Pacific,Tokyo,176 ms,10296 kB/s
132.226.6.125,443,true,NRT,Asia Pacific,Tokyo,180 ms,9779 kB/s
140.238.195.98,443,true,SYD,Oceania,Sydney,181 ms,9652 kB/s
129.146.220.190,443,true,LAX,North America,Los Angeles,213 ms,8902 kB/s
132.145.254.4,443,true,FRA,Europe,Frankfurt,214 ms,8728 kB/s
150.230.112.235,443,true,FRA,Europe,Frankfurt,302 ms,8650 kB/s
132.226.195.165,443,true,FRA,Europe,Frankfurt,196 ms,8521 kB/s
158.101.141.147,443,true,NRT,Asia Pacific,Tokyo,179 ms,7927 kB/s
141.147.14.207,443,true,FRA,Europe,Frankfurt,200 ms,6385 kB/s
144.24.37.146,443,true,LAX,North America,Los Angeles,212 ms,5920 kB/s
8.222.78.155,443,true,NRT,Asia Pacific,Tokyo,67 ms,5883 kB/s
144.24.189.226,443,true,FRA,Europe,Frankfurt,193 ms,5741 kB/s
168.138.13.201,443,true,MEL,Oceania,Melbourne,188 ms,4 kB/s
140.238.201.118,443,true,SYD,Oceania,Sydney,181 ms,0 kB/s
131.186.28.236,443,true,NRT,Asia Pacific,Tokyo,208 ms,0 kB/s
